이름,주민등록번호,소속,직급,주소
손은영,631027-2689336,홍보부,이사,인천 남구 도화1동 850
최연숙,621122-2276009,총무부,주임,서울 성북구 하월곡동 550
노은하,730904-2701789,경영관리부,대리,서울 마포구 공덕동 164
한현철,630928-1486540,업무부,실장,서울 종로구 혜화동 153
임의일,671112-1153081,에너지사업부,실장,경기 평택시 용이동 248
정길자,670421-2159156,홍보부,팀장,경기 성남시 수정구 오야동 448
방영남,761017-1392408,경리부,실장,경기 부천시 오정구 여월동 542
손춘자,710915-2461343,총무부,상무,경기 광주시 삼동 464
채태욱,580207-1336591,홍보부,차장,서울 중구 을지로1가 853
김은영,610816-2348326,총무부,팀장,경기 수원시 권선구 탑동 736
조영수,600224-1607746,경영지원팀,부장,서울 금천구 가산동 530
채은서,610803-2132285,에너지사업부,대리,서울 송파구 삼전동 405
백성기,691023-1728880,기전부,대리,경기 수원시 장안구 영화동 783
백경규,601007-1686887,개발부,주임,서울 동대문구 신설동 531
왕소현,580919-2307360,총무부,과장,서울 구로구 개봉1동 215
방주희,750925-2300296,총무부,사원,서울 중랑구 망우2동 436
권태림,740505-1160271,영업부,대리,서울 용산구 용산동3가 653
강혜령,651123-2547858,교육부,대리,서울 용산구 이촌동 344
노경식,700407-1326065,해외홍보부,팀장,인천 남동구 장수동 847
권경규,700213-1599313,업무부,과장,경기 구리시 수택동 267
정문철,660827-1872198,기전부,사원,서울 성동구 사근동 376
정보라,680615-2276417,경영지원팀,부장,서울 종로구 장사동 776
채희선,690126-2722618,경영지원팀,대리,경기 김포시 운양동 581
한태림,760204-1660320,개발부,부장,서울 마포구 상수동 475
왕현철,781205-1273933,교육부,이사,경기 안산시 상록구 사2동 255
배민자,600224-2831985,교육부,상무,서울 양천구 신정6동 394
전은영,680121-2233242,해외홍보부,실장,경기 고양시 일산구 장항1동 438
정정환,760821-1370776,에너지사업부,주임,서울 종로구 궁정동 570
권동석,671019-1203421,에너지사업부,차장,경기 과천시 부림동 692
임민정,780120-2746596,주택사업부,대리,서울 중구 장충동1가 610
방순애,690511-2675355,경영지원팀,이사,서울 성북구 삼선동2가 571
서영수,660809-1512268,자재부,과장,서울 서대문구 대현동 365
조주경,801205-2183352,에너지사업부,팀장,서울 서초구 반포2동 395
양의병,730408-1117831,홍보부,부장,인천 중구 도원동 234
성희정,700105-2271684,자재부,과장,서울 중구 충무로1가 842
주희정,700317-2322144,교육부,주임,서울 성북구 하월곡동 404
백명숙,630912-2325334,총무부,팀장,경기 수원시 권선구 평리동 484
정은희,691208-2286966,자재부,대리,인천 서구 시천동 679
배민욱,791204-1602402,자재부,대리,서울 중구 장충동2가 766
서혜숙,780908-2206376,경영관리부,과장,경기 오산시 청호동 753
권찬희,760411-2243434,영업부,이사,인천 중구 경동 776
조의철,670424-1481562,주택사업부,대리,서울 동대문구 전농3동 815
백옥분,690903-2626608,에너지사업부,부장,경기 성남시 수정구 심곡동 761
박수희,750920-2812078,영업부,이사,인천 부평구 부평5동 652
손명숙,691014-2974732,교육부,이사,서울 동대문구 용두동 358
송영식,731224-1570483,개발부,상무,경기 안성시 서인동 801
최민석,690415-1111845,업무부,주임,경기 수원시 장안구 영화동 687
이경규,740226-1664154,에너지사업부,차장,서울 중구 충무로2가 574
정철수,780911-1714021,경영지원팀,과장,서울 용산구 한남동 834
정문철,601025-1564269,홍보부,사원,경기 하남시 하산곡동 772
하영남,801022-1196469,홍보부,사원,인천 연수구 연수2동 789
조수정,750715-2273766,에너지사업부,차장,서울 마포구 염리동 124
양철수,590621-1729403,기전부,팀장,서울 서초구 반포본동 640
임태욱,721005-1761816,교육부,과장,경기 동두천시 생연1동 472
권수희,601207-2448586,홍보부,팀장,서울 성동구 상왕십리동 393
주성기,590216-1368404,경리부,주임,경기 군포시 당동 309
성재용,691110-1764867,자재부,부장,경기 성남시 분당구 금곡동 107
양은하,670717-2813401,홍보부,부장,경기 수원시 장안구 정자3동 215
왕영삼,760711-1607461,개발부,주임,경기 화성시 남양동 204
한혜정,741109-2210298,영업부,실장,경기 광명시 소하동 343
노영희,681003-2652498,영업부,과장,서울 구로구 개봉2동 882
왕정철,580418-1956977,해외홍보부,부장,경기 성남시 중원구 성남동 665
정태림,671205-1919284,업무부,대리,인천 남동구 간석동 123
권혜경,800307-2265145,홍보부,부장,서울 강남구 대치1동 760
서정자,630620-2648133,교육부,차장,경기 수원시 팔달구 매교동 880
조송이,630322-2353434,경영관리부,대리,경기 평택시 비전1동 146
방경식,680609-1896937,에너지사업부,부장,서울 강서구 등촌동 184
박춘자,580614-2642814,경리부,주임,경기 성남시 분당구 하산운동 531
방한일,791115-1989229,개발부,상무,서울 성북구 돈암2동 171
조정희,590516-2228508,자재부,실장,경기 안성시 계동 252
박명숙,760401-2580847,경리부,상무,경기 광명시 하안동 356
성현철,640904-1627847,자재부,대리,경기 안양시 동안구 비산2동 816
서정자,651206-2948256,영업부,팀장,경기 부천시 소사구 옥길동 189
방민희,620814-2707718,경리부,과장,서울 마포구 노고산동 648
김수하,730622-2310339,경리부,주임,경기 수원시 팔달구 팔달로2가 174
정의일,590325-1341028,경리부,사원,서울 중구 남창동 866
노서희,780901-2564873,경영지원팀,이사,인천 서구 오류동 304
조정일,751105-1324403,경영관리부,대리,인천 중구 신흥동2가 337
김화란,660916-2884077,경리부,실장,서울 관악구 봉천동 432
최석현,780816-1113551,경리부,대리,경기 안양시 동안구 비산2동 695
정성현,771013-1770603,경리부,주임,서울 양천구 신월2동 542
성현빈,620821-1311262,홍보부,상무,경기 동두천시 상패동 239
양윤택,741206-1680953,경영지원팀,사원,경기 성남시 중원구 은행1동 213
채영수,740905-1871834,업무부,주임,경기 평택시 모곡동 729
백영희,770202-2978978,영업부,부장,경기 과천시 주암동 347
