['손은영', '631027-2689336', '홍보부', '이사', '인천 남구 도화1동 850', '1963-10-27']
['최연숙', '621122-2276009', '총무부', '주임', '서울 성북구 하월곡동 550', '1962-11-22']
['노은하', '730904-2701789', '경영관리부', '대리', '서울 마포구 공덕동 164', '1973-09-04']
['한현철', '630928-1486540', '업무부', '실장', '서울 종로구 혜화동 153', '1963-09-28']
['임의일', '671112-1153081', '에너지사업부', '실장', '경기 평택시 용이동 248', '1967-11-12']
['정길자', '670421-2159156', '홍보부', '팀장', '경기 성남시 수정구 오야동 448', '1967-04-21']
['방영남', '761017-1392408', '경리부', '실장', '경기 부천시 오정구 여월동 542', '1976-10-17']
['손춘자', '710915-2461343', '총무부', '상무', '경기 광주시 삼동 464', '1971-09-15']
['채태욱', '580207-1336591', '홍보부', '차장', '서울 중구 을지로1가 853', '1958-02-07']
['김은영', '610816-2348326', '총무부', '팀장', '경기 수원시 권선구 탑동 736', '1961-08-16']
['조영수', '600224-1607746', '경영지원팀', '부장', '서울 금천구 가산동 530', '1960-02-24']
['채은서', '610803-2132285', '에너지사업부', '대리', '서울 송파구 삼전동 405', '1961-08-03']
['백성기', '691023-1728880', '기전부', '대리', '경기 수원시 장안구 영화동 783', '1969-10-23']
['백경규', '601007-1686887', '개발부', '주임', '서울 동대문구 신설동 531', '1960-10-07']
['왕소현', '580919-2307360', '총무부', '과장', '서울 구로구 개봉1동 215', '1958-09-19']
['방주희', '750925-2300296', '총무부', '사원', '서울 중랑구 망우2동 436', '1975-09-25']
['권태림', '740505-1160271', '영업부', '대리', '서울 용산구 용산동3가 653', '1974-05-05']
['강혜령', '651123-2547858', '교육부', '대리', '서울 용산구 이촌동 344', '1965-11-23']
['노경식', '700407-1326065', '해외홍보부', '팀장', '인천 남동구 장수동 847', '1970-04-07']
['권경규', '700213-1599313', '업무부', '과장', '경기 구리시 수택동 267', '1970-02-13']
['정문철', '660827-1872198', '기전부', '사원', '서울 성동구 사근동 376', '1966-08-27']
['정보라', '680615-2276417', '경영지원팀', '부장', '서울 종로구 장사동 776', '1968-06-15']
['채희선', '690126-2722618', '경영지원팀', '대리', '경기 김포시 운양동 581', '1969-01-26']
['한태림', '760204-1660320', '개발부', '부장', '서울 마포구 상수동 475', '1976-02-04']
['왕현철', '781205-1273933', '교육부', '이사', '경기 안산시 상록구 사2동 255', '1978-12-05']
['배민자', '600224-2831985', '교육부', '상무', '서울 양천구 신정6동 394', '1960-02-24']
['전은영', '680121-2233242', '해외홍보부', '실장', '경기 고양시 일산구 장항1동 438', '1968-01-21']
['정정환', '760821-1370776', '에너지사업부', '주임', '서울 종로구 궁정동 570', '1976-08-21']
['권동석', '671019-1203421', '에너지사업부', '차장', '경기 과천시 부림동 692', '1967-10-19']
['임민정', '780120-2746596', '주택사업부', '대리', '서울 중구 장충동1가 610', '1978-01-20']
['방순애', '690511-2675355', '경영지원팀', '이사', '서울 성북구 삼선동2가 571', '1969-05-11']
['서영수', '660809-1512268', '자재부', '과장', '서울 서대문구 대현동 365', '1966-08-09']
['조주경', '801205-2183352', '에너지사업부', '팀장', '서울 서초구 반포2동 395', '1980-12-05']
['양의병', '730408-1117831', '홍보부', '부장', '인천 중구 도원동 234', '1973-04-08']
['성희정', '700105-2271684', '자재부', '과장', '서울 중구 충무로1가 842', '1970-01-05']
['주희정', '700317-2322144', '교육부', '주임', '서울 성북구 하월곡동 404', '1970-03-17']
['백명숙', '630912-2325334', '총무부', '팀장', '경기 수원시 권선구 평리동 484', '1963-09-12']
['정은희', '691208-2286966', '자재부', '대리', '인천 서구 시천동 679', '1969-12-08']
['배민욱', '791204-1602402', '자재부', '대리', '서울 중구 장충동2가 766', '1979-12-04']
['서혜숙', '780908-2206376', '경영관리부', '과장', '경기 오산시 청호동 753', '1978-09-08']
['권찬희', '760411-2243434', '영업부', '이사', '인천 중구 경동 776', '1976-04-11']
['조의철', '670424-1481562', '주택사업부', '대리', '서울 동대문구 전농3동 815', '1967-04-24']
['백옥분', '690903-2626608', '에너지사업부', '부장', '경기 성남시 수정구 심곡동 761', '1969-09-03']
['박수희', '750920-2812078', '영업부', '이사', '인천 부평구 부평5동 652', '1975-09-20']
['손명숙', '691014-2974732', '교육부', '이사', '서울 동대문구 용두동 358', '1969-10-14']
['송영식', '731224-1570483', '개발부', '상무', '경기 안성시 서인동 801', '1973-12-24']
['최민석', '690415-1111845', '업무부', '주임', '경기 수원시 장안구 영화동 687', '1969-04-15']
['이경규', '740226-1664154', '에너지사업부', '차장', '서울 중구 충무로2가 574', '1974-02-26']
['정철수', '780911-1714021', '경영지원팀', '과장', '서울 용산구 한남동 834', '1978-09-11']
['정문철', '601025-1564269', '홍보부', '사원', '경기 하남시 하산곡동 772', '1960-10-25']
['하영남', '801022-1196469', '홍보부', '사원', '인천 연수구 연수2동 789', '1980-10-22']
['조수정', '750715-2273766', '에너지사업부', '차장', '서울 마포구 염리동 124', '1975-07-15']
['양철수', '590621-1729403', '기전부', '팀장', '서울 서초구 반포본동 640', '1959-06-21']
['임태욱', '721005-1761816', '교육부', '과장', '경기 동두천시 생연1동 472', '1972-10-05']
['권수희', '601207-2448586', '홍보부', '팀장', '서울 성동구 상왕십리동 393', '1960-12-07']
['주성기', '590216-1368404', '경리부', '주임', '경기 군포시 당동 309', '1959-02-16']
